Date,Time,Order Id,Category,Item,Quantity,Price
12/21/2023,5:48:13 PM,12600007,Cocoa,Small,1,3
12/21/2023,5:49:09 PM,12600008,Cocoa,Large,3,5
12/21/2023,5:49:43 PM,12600009,Water,Small Water,1,1
12/21/2023,5:54:22 PM,12600015,Cookies,Chocolate Chunk,1,3
12/21/2023,5:54:22 PM,12600015,Cookies,Peanut Butter,1,3
12/21/2023,5:54:22 PM,12600015,Cappuccino,Large,1,5
12/21/2023,5:54:22 PM,12600015,Cocoa,Small,2,3
12/21/2023,5:56:08 PM,12600016,Cocoa,Small,9,3
12/21/2023,6:01:50 PM,12600017,Cocoa,Small,1,3
12/21/2023,6:01:50 PM,12600017,Cookies,Chocolate Chunk,1,3
12/21/2023,6:01:50 PM,12600017,Cookies,Double Chocolate,1,3
12/21/2023,6:01:50 PM,12600017,Cocoa,Small,1,3
12/21/2023,6:01:50 PM,12600017,Cookies,Chocolate Chunk,1,3
12/21/2023,6:01:50 PM,12600017,Cookies,Double Chocolate,1,3
12/21/2023,6:03:29 PM,12600018,Cappuccino,Small,1,3
12/21/2023,6:03:29 PM,12600018,Cocoa,Small,1,3
12/21/2023,6:07:59 PM,12600019,Cocoa,Large,1,5
12/21/2023,6:07:59 PM,12600019,Cookies,Chocolate Chunk,1,3
12/21/2023,6:09:06 PM,12600020,Soda,Not Specified,1,2
12/21/2023,6:09:06 PM,12600020,Water,Small Water,2,1
12/21/2023,6:09:43 PM,12600021,Cocoa,Small,1,3
12/21/2023,6:11:06 PM,12600022,Water,Small Water,1,1
12/21/2023,6:11:06 PM,12600022,Cookies,Double Chocolate,1,3
12/21/2023,6:15:46 PM,12600023,Cookies,Double Chocolate,1,3
12/21/2023,6:15:46 PM,12600023,Cocoa,Small,1,3
12/21/2023,6:16:18 PM,12600024,Cookies,Chocolate Chunk,1,3
12/21/2023,6:16:58 PM,12600025,Cocoa,Large,4,5
12/21/2023,6:18:13 PM,12600026,Water,Small Water,2,1
12/21/2023,6:18:13 PM,12600026,Cookies,Chocolate Chunk,2,3
12/21/2023,6:18:13 PM,12600026,Cookies,Sugar,1,3
12/21/2023,6:19:18 PM,12600027,Cookies,Peanut Butter,1,3
12/21/2023,6:19:18 PM,12600027,Cookies,Sugar,1,3
12/21/2023,6:19:57 FM,12600028,Cocoa,Small,3,3
12/21/2023,6:19:57 FM,12600028,Cookies,Chocolate Chunk,1,3
12/21/2023,6:21:14 PM,12600029,Cocoa,Small,4,3
12/21/2023,6:21:14 PM,12600029,Cookies,Chocolate Chunk,4,3
12/21/2023,6:22:59 PM,12600030,Cocoa,Large,2,5
12/21/2023,6:27:50 PM,12600032,Cocoa,Large,2,5
12/21/2023,6:28:54 PM,12600033,Cocoa,Large,2,5
12/21/2023,6:31:02 PM,12600034,Water,Small Water,1,1
12/21/2023,6:31:02 PM,12600034,Cappuccino,Small,1,3
12/21/2023,6:35:37 PM,12600037,Cappuccino,Small,1,3
12/21/2023,6:35:37 PM,12600037,Cookies,Chocolate Chunk,2,3
12/21/2023,6:36:40 FM,12600038,Cocoa,Large,2,5
12/21/2023,6:36:40 FM,12600038,Water,Small Water,1,1
12/21/2023,6:36:40 FM,12600038,Cappuccino,Large,2,5
12/21/2023,6:36:40 FM,12600038,Cookies,Double Chocolate,1,3
12/21/2023,6:36:40 FM,12600038,Cookies,Chocolate Chunk,1,3
12/21/2023,6:38:36 PM,12600040,Cocoa,Small,1,3
12/21/2023,6:38:51 FM,12600041,Cocoa,Small,2,3
12/21/2023,6:38:51 FM,12600041,Cappuccino,Large,1,5
12/21/2023,6:38:51 FM,12600041,Cookies,Chocolate Chunk,1,3
12/21/2023,6:39:54 PM,12600042,Cappuccino,Large,2,5
12/21/2023,6:39:54 PM,12600042,Cookies,Oatmeal Raisin,1,3
12/21/2023,6:40:30 FM,12600043,Cocoa,Large,2,5
12/21/2023,6:40:58 PM,12600044,Cocoa,Large,5,5
12/21/2023,6:42:07 PM,12600046,Soda,Diet Coke,2,2
12/21/2023,6:42:07 PM,12600046,Soda,Sprite,1,2
12/21/2023,6:42:07 PM,12600046,Water,Small Water,2,1
12/21/2023,6:49:33 FM,12600048,Cookies,Double Chocolate,1,3
12/21/2023,6:49:52 FM,12600049,Water,Small Water,1,1
12/21/2023,6:49:52 FM,12600049,Soda,Orange Fanta,2,2
12/21/2023,6:49:52 FM,12600049,Soda,Dr. Pepper,1,2
12/21/2023,6:50:38 PM,12600050,Cookies,Peanut Butter,3,3
12/21/2023,6:50:38 PM,12600050,Cocoa,Large,2,5
12/21/2023,6:50:38 PM,12600050,Cappuccino,Large,1,5
12/21/2023,5:52:09 PM,12600051,Cookies,Double Chocolate,1,3
